Rk,player,win_pct,ts_pct,ws,mp_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,pts_per_g
205,Willy Hernangómez\hernawi01,0.333,0.565,0.4,10.6,3.6,0.7,0.3,0.2,5.7
206,Tyler Herro\herroty01,0.648,0.535,1,27.7,4,2,0.6,0.2,13.1
207,Kevin Hervey\herveke01,0.6,0,-0.1,2.2,0.3,0.2,0,0,0
208,Mario Hezonja\hezonma01,0.446,0.493,0.4,16.2,3.6,0.8,0.6,0.2,4.5
209,Buddy Hield\hieldbu01,0.389,0.563,2.6,33.4,5,3.2,0.9,0.3,20.4
210,George Hill\hillge01,0.852,0.685,4.4,21.1,3,3,0.7,0.1,9.7
211,Solomon Hill\hillso01,0.518,0.549,1.2,18.8,3,2,0.6,0.1,5.7
212,Jaylen Hoard\hoardja01,0.446,0.504,0.2,7.9,2.5,0.3,0.4,0,2.9
213,Aaron Holiday\holidaa01,0.582,0.525,1.6,22.8,2.2,3.4,0.7,0.2,9.9
214,Jrue Holiday\holidjr01,0.418,0.521,2.6,34.7,4.7,6.5,1.7,0.9,19.3
215,Justin Holiday\holidju01,0.582,0.591,3.4,25.4,3.4,1.5,1,0.6,8.3
216,Rondae Hollis-Jefferson\holliro01,0.727,0.537,2.8,19.6,4.9,1.8,1,0.4,7.6
217,Richaun Holmes\holmeri01,0.389,0.692,4.6,29.4,8.5,1,1.1,1.4,13.1
218,Rodney Hood\hoodro01,0.446,0.625,1.1,29.5,3.4,1.5,0.8,0.2,11
219,Al Horford\horfoal01,0.618,0.519,4.1,30.9,6.7,3.9,0.9,0.9,12
220,Talen Horton-Tucker\hortota01,0.774,0,0,2.5,0,1,0.5,0,0
221,Danuel House\houseda01,0.63,0.57,3,31,4.5,1.3,1.1,0.6,10.6
222,Dwight Howard\howardw01,0.774,0.695,4.3,19.8,7.8,0.7,0.4,1.3,7.8
223,William Howard\howarwi01,0.63,0,-0.1,6.5,1,0.5,0,0,0
224,Kevin Huerter\huertke01,0.268,0.545,1.1,30.3,4.1,3.4,0.8,0.5,12.3
225,De'Andre Hunter\huntede01,0.268,0.516,-0.1,31.6,4,1.8,0.8,0.3,12.2
226,Chandler Hutchison\hutchch01,0.345,0.521,0.7,18.8,3.9,0.9,1,0.3,7.8
227,Serge Ibaka\ibakase01,0.727,0.597,3.5,27.2,8,1.4,0.5,0.8,16.1
228,Andre Iguodala\iguodan01,0.648,0.722,0.2,21,5.3,2.3,0.3,0.3,4.3
229,Ersan İlyasova\ilyaser01,0.852,0.591,3.2,16.2,5,0.9,0.4,0.3,7.4
230,Joe Ingles\inglejo01,0.667,0.58,3.9,30.1,4,5.2,0.9,0.1,10
231,Brandon Ingram\ingrabr01,0.418,0.6,4.6,34.1,6.4,4.2,1,0.7,24.9
232,Kyrie Irving\irvinky01,0.472,0.595,3,32.9,5.2,6.4,1.4,0.5,27.4
233,Jonathan Isaac\isaacjo01,0.436,0.542,2.4,29.7,6.9,1.4,1.6,2.4,12
234,Wesley Iwundu\iwundwe01,0.436,0.507,1.2,18.3,2.6,1.1,0.6,0.2,5.1
235,Frank Jackson\jacksfr01,0.418,0.52,0.1,13.2,1.3,0.8,0.3,0.1,5.9
236,Jaren Jackson\jacksja02,0.518,0.59,3,28.1,4.8,1.4,0.7,1.7,17.1
237,Josh Jackson\jacksjo02,0.518,0.449,-0.1,17.6,3.9,0.9,0.9,0.1,6
238,Justin Jackson\jacksju01,0.6,0.493,0.8,16.1,2.4,0.7,0.2,0.1,5.8
239,Reggie Jackson\jacksre01,0.333,0.492,0.4,27.2,2.9,5.1,0.6,0.1,14.9
240,Justin James\jamesju01,0.389,0.487,0.2,7,1,0.5,0.2,0.3,2.7
241,LeBron James\jamesle01,0.774,0.569,7.5,34.9,7.8,10.8,1.3,0.4,25
242,Amile Jefferson\jeffeam01,0.436,0.372,0,4.1,1.3,0.2,0.1,0.2,0.8
243,DaQuan Jeffries\jeffrda01,0.389,0.5,0,3.2,0.2,0.2,0.2,0,1.2
244,Ty Jerome\jeromty01,0.4,0.465,0.2,11.8,1.7,1.8,0.7,0.1,4
245,Alize Johnson\johnsal02,0.582,0.541,0.1,4.2,1.4,0.2,0,0,1.6
246,B.J. Johnson\johnsbj01,0.436,0.344,-0.1,5.8,0.8,0.3,0.3,0,1.6
247,Cameron Johnson\johnsca02,0.4,0.565,1.4,19.8,2.9,1.1,0.6,0.3,7.7
248,James Johnson\johnsja01,0.727,0.552,0.5,17.2,3.2,1.6,0.6,0.8,6.2
249,Keldon Johnson\johnske04,0.426,0.4,0,3,0.8,0,0,0,1
250,Stanley Johnson\johnsst04,0.727,0.353,-0.2,4.9,1.1,0.4,0.2,0.1,1.2
251,Tyler Johnson\johnsty01,0.4,0.481,0.1,16.6,1.7,1.6,0.4,0.3,5.7
252,Nikola Jokić\jokicni01,0.691,0.597,8,32.5,10.2,6.9,1.2,0.7,20.6
253,Damian Jones\jonesda03,0.268,0.718,2.7,16.7,3.8,0.6,0.5,0.7,5.9
254,Derrick Jones\jonesde02,0.648,0.598,2.8,24.7,4.2,0.9,1,0.7,8.7
255,Tyus Jones\jonesty01,0.518,0.536,2.3,18.9,1.6,4.5,0.9,0.1,6.9
